carat,cut,color,clarity,depth,table,z,x,y,price
41,41,41,41,0.33,0,2,1,4.49,56.0,403
42,42,42,42,0.26,2,6,3,3.99,56.0,403
43,43,43,43,0.26,2,6,2,4.19,63.0,403
44,44,44,44,0.32,2,3,0,4.34,56.0,403
45,45,45,45,0.29,1,4,1,4.24,58.0,403
46,46,46,46,0.32,3,3,0,4.35,55.0,403
47,47,47,47,0.32,2,3,0,4.36,56.0,403
48,48,48,48,0.25,3,0,3,4.0,60.0,404
49,49,49,49,0.29,3,3,0,4.33,60.0,404
50,50,50,50,0.24,3,4,1,4.02,61.0,404
51,51,51,51,0.23,0,5,2,3.93,54.0,404
52,52,52,52,0.32,0,1,1,4.45,55.0,404
53,53,53,53,0.22,1,0,3,3.93,58.0,404
54,54,54,54,0.22,1,6,3,3.91,62.0,404
55,55,55,55,0.3,0,1,0,4.3,59.0,405
56,56,56,56,0.3,1,2,0,4.43,61.0,405
57,57,57,57,0.3,3,1,1,4.25,57.0,405
58,58,58,58,0.3,3,1,1,4.28,57.0,405
59,59,59,59,0.3,2,1,1,4.25,55.0,405
60,60,60,60,0.35,0,1,2,4.54,57.0,552
61,61,61,61,0.3,1,6,1,4.23,59.0,552
62,62,62,62,0.3,0,6,1,4.29,57.0,552
63,63,63,63,0.3,0,6,1,4.3,56.0,552
64,64,64,64,0.42,1,1,0,4.78,59.0,552
65,65,65,65,0.28,0,5,4,4.19,56.0,553
66,66,66,66,0.32,0,1,5,4.39,55.3,553
67,67,67,67,0.31,3,5,1,4.33,57.0,553
68,68,68,68,0.31,1,5,1,4.35,58.0,553
69,69,69,69,0.24,1,0,5,4.01,58.0,553
70,70,70,70,0.24,3,6,5,3.97,60.0,553
71,71,71,71,0.3,3,3,1,4.29,56.0,554
72,72,72,72,0.3,1,3,1,4.28,59.0,554
73,73,73,73,0.3,1,3,1,4.29,57.0,554
74,74,74,74,0.3,2,3,1,4.28,57.0,554
75,75,75,75,0.26,3,4,4,4.19,60.0,554
76,76,76,76,0.26,3,0,4,4.15,58.0,554
77,77,77,77,0.26,3,6,4,4.08,54.0,554
78,78,78,78,0.26,3,6,4,4.01,60.0,554
79,79,79,79,0.26,3,0,5,4.06,59.0,554
80,80,80,80,0.26,3,0,5,4.0,59.0,554
81,81,81,81,0.26,3,6,5,4.03,60.0,554
82,82,82,82,0.26,0,0,4,4.02,58.0,554
83,83,83,83,0.38,0,1,0,4.65,56.0,554
84,84,84,84,0.26,2,0,5,4.22,60.0,554
85,85,85,85,0.24,1,5,5,3.95,59.0,554
86,86,86,86,0.24,1,3,5,4.01,58.0,554
87,87,87,87,0.24,1,3,5,4.02,59.0,554
88,88,88,88,0.24,1,3,4,4.07,58.0,554
89,89,89,89,0.32,1,1,1,4.35,58.0,554
90,90,90,90,0.7,0,0,1,5.7,57.0,2757
91,91,91,91,0.86,4,0,0,6.45,69.0,2757
92,92,92,92,0.7,0,5,3,5.7,56.0,2757
93,93,93,93,0.71,3,0,3,5.68,57.0,2759
94,94,94,94,0.78,3,5,0,5.81,56.0,2759
95,95,95,95,0.7,2,0,3,5.85,58.0,2759
96,96,96,96,0.7,2,4,2,5.71,62.0,2759
97,97,97,97,0.96,4,4,0,6.27,62.0,2759
98,98,98,98,0.73,3,0,1,5.77,59.0,2760
99,99,99,99,0.8,1,3,1,5.97,58.0,2760
100,100,100,100,0.75,3,6,1,5.8,56.0,2760
101,101,101,101,0.75,1,0,1,6.0,54.0,2760
102,102,102,102,0.74,0,5,1,5.8,55.0,2760
103,103,103,103,0.75,1,5,3,5.85,58.0,2760
104,104,104,104,0.8,0,1,2,5.94,56.0,2760
105,105,105,105,0.75,0,5,1,5.87,55.0,2760
106,106,106,106,0.8,1,5,1,5.9,59.0,2760
107,107,107,107,0.74,0,1,4,5.77,55.0,2761
108,108,108,108,0.81,0,4,0,6.14,57.0,2761
109,109,109,109,0.59,0,0,4,5.38,55.0,2761
110,110,110,110,0.8,0,4,0,5.96,57.0,2761
111,111,111,111,0.74,0,0,0,5.8,56.0,2761
112,112,112,112,0.9,1,1,3,6.16,58.0,2761
113,113,113,113,0.74,3,5,1,5.73,59.0,2762
114,114,114,114,0.73,0,4,3,5.77,56.0,2762
115,115,115,115,0.73,0,4,3,5.8,53.0,2762
116,116,116,116,0.8,1,4,0,5.98,58.0,2762
117,117,117,117,0.71,0,5,3,5.72,54.0,2762
118,118,118,118,0.7,0,0,3,5.73,58.0,2762
119,119,119,119,0.8,0,4,0,6.01,59.0,2762
120,120,120,120,0.71,0,6,0,5.73,56.0,2762
121,121,121,121,0.74,0,0,1,5.8,54.0,2762
122,122,122,122,0.7,3,4,3,5.64,63.0,2762
123,123,123,123,0.7,4,4,3,5.57,57.0,2762
124,124,124,124,0.7,4,4,3,5.63,55.0,2762
125,125,125,125,0.7,1,4,3,5.65,60.0,2762
126,126,126,126,0.91,1,3,1,6.09,56.0,2763
127,127,127,127,0.61,3,6,4,5.56,57.0,2763
128,128,128,128,0.91,4,3,0,6.11,57.0,2763
129,129,129,129,0.91,4,3,0,6.03,60.0,2763
130,130,130,130,0.77,0,3,3,5.89,56.0,2763
131,131,131,131,0.71,3,6,1,5.64,58.0,2764
132,132,132,132,0.71,0,6,1,5.69,59.0,2764
133,133,133,133,0.7,3,0,3,5.62,60.0,2765
134,134,134,134,0.77,3,3,2,5.88,60.0,2765
135,135,135,135,0.63,1,0,5,5.52,60.0,2765
136,136,136,136,0.71,3,4,2,5.74,62.0,2765
137,137,137,137,0.71,1,4,2,5.69,59.0,2765
138,138,138,138,0.76,0,3,1,5.88,57.0,2765
139,139,139,139,0.64,0,5,5,5.53,56.0,2766
140,140,140,140,0.71,1,5,3,5.78,57.0,2766
141,141,141,141,0.71,1,5,3,5.89,56.0,2766
142,142,142,142,0.7,3,6,3,5.68,55.0,2767
143,143,143,143,0.7,3,4,2,5.8,57.0,2767
144,144,144,144,0.71,0,6,0,5.74,55.0,2767
145,145,145,145,0.7,2,3,4,5.62,64.0,2767
146,146,146,146,0.71,3,5,2,5.52,59.0,2768
147,147,147,147,0.73,3,6,1,5.83,56.0,2768
148,148,148,148,0.7,3,6,1,5.66,58.0,2768
149,149,149,149,0.7,0,0,1,5.73,57.0,2768
150,150,150,150,0.71,1,6,0,5.71,59.0,2768
151,151,151,151,0.74,0,1,1,5.82,56.0,2769
152,152,152,152,0.71,1,6,3,5.65,60.0,2770
153,153,153,153,0.73,1,5,3,5.83,59.0,2770
154,154,154,154,0.76,3,4,1,5.79,57.0,2770
155,155,155,155,0.76,0,6,0,5.78,57.0,2770
156,156,156,156,0.71,0,4,1,5.77,56.0,2770
157,157,157,157,0.73,1,5,3,5.87,58.0,2770
158,158,158,158,0.73,1,5,2,5.79,58.0,2770
159,159,159,159,0.73,0,6,0,5.92,57.0,2770
160,160,160,160,0.73,1,5,3,5.92,59.0,2770
161,161,161,161,0.72,3,3,4,5.81,56.0,2771
162,162,162,162,0.73,3,4,1,5.79,60.0,2771
163,163,163,163,0.71,0,5,3,5.73,57.0,2771
164,164,164,164,0.79,0,4,0,5.97,55.0,2771
165,165,165,165,0.73,3,3,5,5.83,59.0,2772
166,166,166,166,0.8,3,4,0,6.01,57.0,2772
167,167,167,167,0.58,0,5,5,5.39,55.0,2772
168,168,168,168,0.58,0,4,5,5.33,56.0,2772
169,169,169,169,0.71,2,0,3,5.8,61.0,2772
170,170,170,170,0.75,0,6,0,5.85,56.0,2773
171,171,171,171,0.7,1,6,3,5.87,62.0,2773
172,172,172,172,1.17,3,2,6,6.83,61.0,2774
173,173,173,173,0.6,0,0,2,5.41,55.0,2774
174,174,174,174,0.7,0,0,1,5.68,55.0,2774
175,175,175,175,0.83,2,1,3,5.85,54.0,2774
176,176,176,176,0.74,3,4,3,5.8,61.0,2775
177,177,177,177,0.72,3,5,3,5.62,56.4,2776
178,178,178,178,0.71,1,0,3,5.74,58.0,2776
179,179,179,179,0.71,0,0,3,5.79,57.0,2776
180,180,180,180,0.54,0,0,4,5.25,56.0,2776
181,181,181,181,0.54,0,0,4,5.24,57.0,2776
182,182,182,182,0.72,0,5,1,5.72,56.0,2776
183,183,183,183,0.72,0,5,1,5.79,56.0,2776
184,184,184,184,0.72,2,5,3,5.8,60.5,2776
185,185,185,185,0.71,0,5,1,5.8,56.0,2776
186,186,186,186,0.7,3,6,2,5.66,58.0,2777
187,187,187,187,0.71,1,4,3,5.67,58.0,2777
188,188,188,188,0.71,3,4,3,5.64,57.0,2777
189,189,189,189,0.71,2,4,3,5.61,58.0,2777
190,190,190,190,0.71,2,4,3,5.87,60.0,2777
191,191,191,191,0.7,0,0,3,5.7,55.0,2777
192,192,192,192,0.7,1,0,3,5.71,60.0,2777
193,193,193,193,0.7,1,0,1,5.79,59.0,2777
194,194,194,194,0.7,1,0,1,5.73,57.0,2777
195,195,195,195,0.7,1,0,1,5.67,59.0,2777
196,196,196,196,0.7,1,0,1,5.73,57.0,2777
197,197,197,197,0.7,1,0,1,5.78,58.0,2777
198,198,198,198,0.7,0,0,1,5.76,57.0,2777
199,199,199,199,0.72,1,4,1,5.82,61.0,2777
200,200,200,200,0.7,3,0,1,5.76,63.0,2777
201,201,201,201,0.7,1,0,1,5.71,58.0,2777
202,202,202,202,0.7,1,0,1,5.77,58.0,2777
203,203,203,203,0.7,2,0,3,5.64,59.0,2777
204,204,204,204,0.98,4,3,0,6.05,60.0,2777
205,205,205,205,0.78,1,4,1,5.83,58.0,2777
206,206,206,206,0.7,3,0,1,5.6,60.0,2777
207,207,207,207,0.52,0,4,5,5.19,55.0,2778
208,208,208,208,0.73,3,3,3,5.82,56.0,2779
209,209,209,209,0.74,0,0,1,5.84,56.0,2779
210,210,210,210,0.7,3,4,3,5.61,57.0,2780
211,211,211,211,0.77,1,5,3,5.9,58.0,2780
212,212,212,212,0.71,0,4,3,5.68,54.0,2780
213,213,213,213,0.74,0,5,2,5.81,55.0,2780
214,214,214,214,0.7,0,5,2,5.64,59.0,2780
215,215,215,215,1.01,1,4,6,6.39,60.0,2781
216,216,216,216,0.77,0,3,1,5.83,56.0,2781
217,217,217,217,0.78,0,3,1,5.92,56.0,2781
218,218,218,218,0.72,3,3,2,5.83,63.0,2782
219,219,219,219,0.53,3,6,4,5.34,64.0,2782
220,220,220,220,0.76,0,5,3,5.9,56.0,2782
221,221,221,221,0.7,2,0,2,5.81,62.0,2782
222,222,222,222,0.7,1,0,2,5.62,60.0,2782
223,223,223,223,0.75,3,6,0,5.78,58.0,2782
224,224,224,224,0.72,0,6,1,5.76,57.0,2782
225,225,225,225,0.72,1,6,1,5.73,59.0,2782
226,226,226,226,0.7,1,6,1,5.68,60.0,2782
227,227,227,227,0.84,4,5,1,6.39,67.0,2782
228,228,228,228,0.75,1,4,1,5.88,59.0,2782
229,229,229,229,0.52,0,4,7,5.14,55.0,2783
230,230,230,230,0.72,3,4,3,5.69,54.0,2784
231,231,231,231,0.79,3,3,2,5.85,56.0,2784
232,232,232,232,0.72,3,4,3,5.66,58.0,2787
233,233,233,233,0.51,0,4,5,5.11,57.0,2787
234,234,234,234,0.64,0,6,2,5.54,56.0,2787
235,235,235,235,0.7,3,3,5,5.74,60.0,2788
236,236,236,236,0.83,3,1,2,6.07,60.0,2788
237,237,237,237,0.76,0,1,4,5.85,56.0,2788
238,238,238,238,0.71,2,6,3,5.64,56.0,2788
239,239,239,239,0.77,2,5,2,5.97,64.0,2788
240,240,240,240,0.71,0,4,1,5.71,55.0,2788
241,241,241,241,1.01,4,0,6,6.29,58.0,2788
242,242,242,242,1.01,1,3,0,6.31,59.0,2788
243,243,243,243,0.77,2,4,1,5.81,52.0,2789
244,244,244,244,0.76,2,0,1,5.76,54.0,2789
245,245,245,245,0.76,1,0,1,5.92,58.0,2789
246,246,246,246,0.76,1,0,1,5.82,58.0,2789
247,247,247,247,1.05,3,2,0,6.49,56.0,2789
248,248,248,248,0.81,0,5,0,5.97,56.0,2789
249,249,249,249,0.7,0,0,1,5.72,56.0,2789
250,250,250,250,0.55,0,5,7,5.28,57.0,2789
251,251,251,251,0.81,2,5,0,5.94,61.0,2789
252,252,252,252,0.63,1,0,4,5.48,57.0,2789
253,253,253,253,0.63,1,0,5,5.55,60.0,2789
254,254,254,254,0.77,1,3,2,5.9,60.0,2789
255,255,255,255,1.05,4,2,0,6.41,59.0,2789
256,256,256,256,0.64,0,5,7,5.54,56.0,2790
257,257,257,257,0.76,1,1,5,6.0,59.0,2790
258,258,258,258,0.83,0,4,0,6.02,55.0,2790
259,259,259,259,0.71,1,4,2,5.77,62.0,2790
260,260,260,260,0.71,1,4,2,5.73,59.0,2790
261,261,261,261,0.87,3,1,1,6.07,55.8,2791
262,262,262,262,0.73,0,0,1,5.74,56.0,2791
263,263,263,263,0.71,1,0,1,5.83,59.0,2792
264,264,264,264,0.71,1,0,1,5.7,59.0,2792
265,265,265,265,0.71,0,0,1,5.72,55.0,2792
266,266,266,266,0.7,1,4,2,5.71,60.0,2792
267,267,267,267,0.7,1,4,2,5.78,60.0,2792
268,268,268,268,0.76,1,3,4,5.91,57.0,2792
269,269,269,269,0.7,0,4,2,5.73,56.0,2792
270,270,270,270,0.79,3,5,1,5.98,57.0,2793
271,271,271,271,0.7,3,0,3,5.66,57.0,2793
272,272,272,272,0.7,2,0,3,5.6,55.0,2793
273,273,273,273,0.76,0,1,3,5.87,56.0,2793
274,274,274,274,0.73,0,3,3,5.72,55.0,2793
275,275,275,275,0.79,3,0,1,5.91,56.0,2794
276,276,276,276,0.71,3,0,3,5.81,56.0,2795
277,277,277,277,0.81,1,1,4,5.91,60.0,2795
278,278,278,278,0.81,0,4,0,5.92,55.0,2795
279,279,279,279,0.72,2,4,2,5.74,60.0,2795
280,280,280,280,0.72,1,6,0,5.73,60.0,2795
281,281,281,281,0.72,1,1,7,5.72,57.0,2795
282,282,282,282,0.81,1,3,3,6.17,59.0,2795
283,283,283,283,0.72,1,5,3,5.73,57.0,2795
284,284,284,284,1.0,1,1,0,6.61,60.0,2795
285,285,285,285,0.73,2,0,1,5.7,58.0,2796
286,286,286,286,0.81,3,3,0,5.94,59.0,2797
287,287,287,287,0.81,3,0,1,6.07,60.0,2797
288,288,288,288,0.71,1,6,1,5.67,60.0,2797
289,289,289,289,0.71,1,6,1,5.73,58.0,2797
290,290,290,290,0.71,1,6,1,5.74,60.0,2797
291,291,291,291,0.57,0,4,4,5.34,55.0,2797
292,292,292,292,0.51,0,6,5,5.12,56.0,2797
293,293,293,293,0.72,0,5,3,5.72,58.0,2797
294,294,294,294,0.74,0,3,2,5.77,58.0,2797
295,295,295,295,0.74,0,3,2,5.81,56.0,2797
296,296,296,296,0.7,4,5,5,5.81,66.0,2797
297,297,297,297,0.8,1,4,0,6.03,57.0,2797
298,298,298,298,1.01,4,0,0,6.19,60.0,2797
299,299,299,299,0.8,3,3,3,5.92,60.0,2797
300,300,300,300,0.77,0,1,2,5.87,59.0,2798
301,301,301,301,0.83,3,0,0,6.19,62.0,2799
302,302,302,302,0.82,0,4,0,5.97,54.0,2799
303,303,303,303,0.78,0,6,1,5.91,57.0,2799
304,304,304,304,0.6,3,5,7,5.43,56.0,2800
305,305,305,305,0.9,2,1,0,6.07,59.0,2800
306,306,306,306,0.7,1,0,2,5.6,58.0,2800
307,307,307,307,0.9,3,1,0,6.17,56.0,2800
308,308,308,308,0.83,0,5,1,5.99,57.0,2800
309,309,309,309,0.83,0,5,1,6.03,57.0,2800
310,310,310,310,0.83,3,3,1,5.95,59.0,2800
311,311,311,311,0.74,1,5,2,5.74,60.0,2800
312,312,312,312,0.79,0,1,2,5.92,59.0,2800
313,313,313,313,0.61,0,5,7,5.43,56.0,2800
314,314,314,314,0.76,4,5,2,5.89,70.0,2800
315,315,315,315,0.96,0,4,6,6.37,55.0,2801
316,316,316,316,0.73,0,4,3,5.8,55.0,2801
317,317,317,317,0.73,1,4,3,5.76,58.0,2801
318,318,318,318,0.75,0,3,1,5.93,57.0,2801
319,319,319,319,0.71,1,4,3,5.7,58.0,2801
320,320,320,320,0.71,2,4,3,5.9,60.0,2801
321,321,321,321,0.71,2,4,3,5.64,58.0,2801
322,322,322,322,0.71,1,4,3,5.69,57.0,2801
323,323,323,323,1.04,1,5,6,6.46,58.0,2801
324,324,324,324,1.0,1,2,0,6.45,58.0,2801
325,325,325,325,0.87,3,5,0,6.19,58.0,2802
326,326,326,326,0.53,0,4,7,5.22,54.0,2802
327,327,327,327,0.72,1,0,3,5.79,55.0,2802
328,328,328,328,0.72,1,4,2,5.83,58.0,2802
329,329,329,329,0.7,3,4,3,5.63,58.0,2803
330,330,330,330,0.74,3,0,1,5.74,56.0,2803
331,331,331,331,0.71,0,5,3,5.75,56.0,2803
332,332,332,332,0.73,0,0,1,5.84,54.0,2803
333,333,333,333,0.7,2,5,2,5.56,58.0,2803
334,334,334,334,0.71,1,4,3,5.7,58.0,2803
335,335,335,335,0.71,1,4,3,5.85,62.0,2803
336,336,336,336,0.71,1,5,2,5.7,61.0,2803
337,337,337,337,0.77,1,5,3,5.93,57.0,2803
338,338,338,338,0.71,1,5,3,5.81,60.0,2803
339,339,339,339,0.78,1,5,3,6.03,58.0,2803
340,340,340,340,0.71,3,5,2,5.66,55.0,2803
341,341,341,341,0.91,0,6,0,6.21,57.0,2803
342,342,342,342,0.71,3,0,3,5.62,58.0,2804
343,343,343,343,0.71,3,0,3,5.66,57.0,2804
344,344,344,344,0.8,3,0,0,5.88,56.0,2804
345,345,345,345,0.7,3,6,1,5.69,58.0,2804
346,346,346,346,0.72,0,4,2,5.74,57.0,2804
347,347,347,347,0.72,3,4,2,5.75,58.0,2804
348,348,348,348,0.82,0,3,3,6.01,56.0,2804
349,349,349,349,0.7,0,6,1,5.68,59.0,2804
350,350,350,350,0.72,0,6,1,5.74,56.0,2804
351,351,351,351,0.72,0,6,1,5.77,54.0,2804
352,352,352,352,0.9,4,1,1,5.93,59.0,2804
353,353,353,353,0.74,1,4,3,5.85,58.0,2805
354,354,354,354,0.74,1,4,3,5.8,56.0,2805
355,355,355,355,0.73,0,0,0,5.77,58.0,2805
356,356,356,356,0.57,4,0,5,5.34,66.0,2805
357,357,357,357,0.73,1,4,3,5.75,57.0,2805
358,358,358,358,0.72,0,5,3,5.74,56.0,2805
359,359,359,359,0.74,4,4,3,5.82,68.0,2805
360,360,360,360,0.82,2,5,3,5.92,57.0,2805
361,361,361,361,0.81,3,5,1,5.89,60.0,2806
362,362,362,362,0.75,3,3,5,5.85,58.0,2806
363,363,363,363,0.7,0,4,1,5.72,55.0,2806
364,364,364,364,0.71,3,4,2,5.66,58.0,2807
365,365,365,365,0.71,3,4,2,5.84,57.0,2807
366,366,366,366,0.93,1,2,0,6.21,57.0,2807
367,367,367,367,0.8,3,3,3,5.87,57.0,2808
368,368,368,368,0.7,3,4,2,5.64,57.0,2808
369,369,369,369,1.0,4,5,6,6.16,59.0,2808
370,370,370,370,0.75,3,5,3,5.78,56.0,2808
371,371,371,371,0.58,0,0,4,5.41,56.0,2808
372,372,372,372,0.73,3,6,1,5.74,57.0,2808
373,373,373,373,0.81,3,4,1,5.85,59.0,2809
374,374,374,374,0.81,1,6,0,6.15,57.0,2809
375,375,375,375,0.71,1,4,1,5.84,54.0,2809
376,376,376,376,1.2,4,4,6,6.73,56.0,2809
377,377,377,377,0.7,3,4,2,5.63,56.0,2810
378,378,378,378,0.7,3,4,2,5.77,60.0,2810
379,379,379,379,0.74,0,6,0,5.81,55.0,2810
380,380,380,380,0.7,2,4,2,5.57,61.0,2810
381,381,381,381,0.8,2,5,1,5.84,57.0,2810
382,382,382,382,0.75,3,4,1,5.72,58.0,2811
383,383,383,383,0.83,3,6,1,5.98,54.0,2811
384,384,384,384,1.0,4,2,3,6.14,59.0,2811
385,385,385,385,0.99,4,1,0,6.21,56.0,2811
386,386,386,386,0.7,3,5,2,5.57,60.0,2812
387,387,387,387,0.7,3,4,3,5.75,58.0,2812
388,388,388,388,0.7,2,0,1,5.49,59.0,2812
389,389,389,389,0.7,3,4,3,5.63,58.0,2812
390,390,390,390,0.32,1,1,1,4.37,58.0,554
391,391,391,391,0.32,1,1,1,4.39,58.0,554
392,392,392,392,0.32,0,1,1,4.37,57.0,554
393,393,393,393,0.32,1,1,1,4.39,59.0,554
394,394,394,394,0.32,3,1,1,4.39,56.0,554
395,395,395,395,0.32,0,1,1,4.47,57.0,554
396,396,396,396,0.3,1,3,1,4.31,59.0,554
397,397,397,397,0.3,1,3,1,4.41,55.0,554
398,398,398,398,0.3,1,3,1,4.28,58.0,554
399,399,399,399,0.3,3,3,1,4.29,56.0,554
400,400,400,400,0.3,2,3,1,4.26,55.0,554
401,401,401,401,0.3,0,3,1,4.27,57.0,554
402,402,402,402,0.3,3,3,1,4.25,60.0,554
403,403,403,403,0.32,2,1,1,4.36,55.0,554
404,404,404,404,0.33,0,3,0,4.85,56.0,554
405,405,405,405,0.29,3,0,2,4.28,55.0,555
406,406,406,406,0.29,3,0,2,4.2,55.0,555
407,407,407,407,0.31,3,4,1,4.32,58.0,555
408,408,408,408,0.34,0,3,3,4.47,56.0,555
409,409,409,409,0.34,0,3,3,4.54,57.0,555
410,410,410,410,0.34,0,1,2,4.48,55.0,555
411,411,411,411,0.34,0,1,2,4.5,56.0,555
412,412,412,412,0.3,0,5,2,4.29,56.0,555
413,413,413,413,0.29,0,4,2,4.26,56.0,555
414,414,414,414,0.35,0,5,1,4.56,56.0,555
415,415,415,415,0.43,3,0,6,4.94,62.0,555
416,416,416,416,0.32,3,4,3,4.37,58.0,556
417,417,417,417,0.36,0,1,3,4.54,56.0,556
418,418,418,418,0.3,0,5,3,4.28,56.0,556
419,419,419,419,0.26,0,0,2,4.09,57.0,556
420,420,420,420,0.7,3,4,3,5.64,58.0,2812
421,421,421,421,0.7,3,4,3,5.66,61.0,2812
422,422,422,422,0.71,0,6,1,5.69,57.0,2812
423,423,423,423,0.99,4,2,1,6.72,61.0,2812
424,424,424,424,0.73,1,0,3,5.92,60.0,2812
425,425,425,425,0.51,0,4,5,5.15,57.0,2812
426,426,426,426,0.91,1,5,0,6.3,58.0,2813
427,427,427,427,0.84,3,0,1,6.0,55.0,2813
428,428,428,428,0.91,2,1,3,6.09,58.0,2813
429,429,429,429,0.76,1,0,1,5.86,59.0,2814
430,430,430,430,0.76,0,0,1,5.88,57.0,2814
431,431,431,431,0.75,1,0,1,5.86,59.0,2814
432,432,432,432,0.55,3,6,5,5.23,56.0,2815
433,433,433,433,0.76,3,4,0,5.93,62.0,2815
434,434,434,434,0.74,1,5,2,5.79,58.0,2815
435,435,435,435,0.7,0,3,1,5.75,56.0,2815
436,436,436,436,0.7,0,3,1,5.7,56.0,2815
437,437,437,437,0.7,0,3,1,5.73,55.0,2815
438,438,438,438,0.7,0,3,1,5.72,56.0,2815
439,439,439,439,0.9,4,2,3,6.08,56.0,2815
440,440,440,440,0.95,4,4,0,6.62,60.0,2815
441,441,441,441,0.89,1,3,0,6.26,59.0,2815
442,442,442,442,0.72,1,0,3,5.99,58.0,2815
443,443,443,443,0.96,4,0,0,6.73,63.0,2815
444,444,444,444,1.02,1,5,6,6.55,58.0,2815
445,445,445,445,0.78,3,1,4,5.91,56.0,2816
446,446,446,446,0.61,0,5,4,5.52,57.0,2816
447,447,447,447,0.71,2,6,2,5.61,55.0,2816
448,448,448,448,0.78,1,4,1,5.96,59.0,2816
449,449,449,449,0.87,0,3,0,6.16,56.0,2816
450,450,450,450,0.83,0,3,1,6.04,55.0,2816
451,451,451,451,0.71,1,0,1,5.78,56.0,2817
452,452,452,452,0.71,0,1,4,5.84,56.0,2817
453,453,453,453,0.71,0,0,3,5.66,57.0,2817
454,454,454,454,0.71,1,0,3,5.69,58.0,2817
455,455,455,455,0.63,0,4,4,5.48,56.0,2817
456,456,456,456,0.71,1,0,1,5.86,59.0,2817
457,457,457,457,0.71,1,0,1,5.75,59.0,2817
458,458,458,458,0.71,0,0,1,5.77,55.0,2817
459,459,459,459,0.71,1,0,1,5.77,58.0,2817
460,460,460,460,0.9,0,2,3,6.2,55.0,2817
461,461,461,461,0.71,2,0,1,5.6,64.0,2817
462,462,462,462,0.7,1,0,3,5.66,61.0,2818
463,463,463,463,0.7,1,0,3,5.78,60.0,2818
464,464,464,464,0.7,1,0,3,5.64,60.0,2818
465,465,465,465,1.0,1,3,6,6.43,60.0,2818
466,466,466,466,0.86,1,4,0,6.36,62.0,2818
467,467,467,467,0.8,0,3,1,6.07,57.0,2818
468,468,468,468,0.7,0,0,2,5.66,57.0,2818
469,469,469,469,0.7,1,0,2,5.91,57.0,2818
470,470,470,470,0.7,1,4,3,5.69,60.0,2818
471,471,471,471,0.7,1,0,2,5.68,57.0,2818
472,472,472,472,1.0,4,3,0,6.34,62.0,2818
473,473,473,473,0.72,3,5,2,5.64,58.0,2819
474,474,474,474,0.72,0,3,2,5.73,56.0,2819
475,475,475,475,0.7,2,4,2,5.76,63.0,2819
476,476,476,476,0.86,2,4,0,5.97,60.0,2819
477,477,477,477,0.71,0,5,2,5.66,58.0,2820
478,478,478,478,0.75,0,0,1,5.8,57.0,2821
479,479,479,479,0.73,1,0,3,5.77,59.0,2821
480,480,480,480,0.53,0,0,5,5.2,55.0,2821
481,481,481,481,0.73,1,0,1,5.83,58.0,2821
482,482,482,482,0.73,2,0,1,5.72,57.0,2821
483,483,483,483,0.73,1,0,1,5.92,61.0,2821
484,484,484,484,0.73,1,0,1,5.77,59.0,2821
